UniqueID,Species,Breed,Gender,SpayNeuter,Borough,ZipCode,Season,trainability_value,group,Age_Range
7189,DOG,german shepherd dog,F,FALSE,Queens,11356,Summer,0.77,Herding Group,Adult (3-7 Years)
7190,DOG,shih tzu,M,FALSE,Queens,,Summer,0.62,Toy Group,Adult (3-7 Years)
7191,DOG,akita,M,FALSE,Queens,11434,Summer,0.62,Working Group,Puppy/Young (0-2 Years)
7192,DOG,bull terrier,M,FALSE,Queens,,Summer,0.58,Terrier Group,
7193,DOG,norfolk terrier,M,TRUE,Queens,11365,Summer,0.09,Terrier Group,Puppy/Young (0-2 Years)
7195,DOG,yorkshire terrier,M,FALSE,Queens,,Summer,0.09,Toy Group,Adult (3-7 Years)
7197,DOG,labrador retriever,M,FALSE,Queens,11378,Summer,0.84,Sporting Group,Adult (3-7 Years)
7200,DOG,miniature pinscher,M,TRUE,Queens,11385,Summer,0.17,Toy Group,Adult (3-7 Years)
7202,DOG,bull terrier,U,FALSE,Queens,11373,Summer,0.43,Terrier Group,
7203,DOG,labrador retriever,M,FALSE,Queens,11101,Summer,0.81,Sporting Group,Puppy/Young (0-2 Years)
7204,DOG,german shepherd dog,M,FALSE,Queens,11374,Summer,0.69,Herding Group,Puppy/Young (0-2 Years)
7205,DOG,silky terrier,F,FALSE,Queens,11433,Summer,0.29,Toy Group,Adult (3-7 Years)
7206,DOG,american staffordshire terrier,M,FALSE,Queens,,Summer,0.55,Terrier Group,Adult (3-7 Years)
7207,DOG,poodle (standard),U,FALSE,Queens,,Summer,0.72,Non-Sporting Group,
7210,DOG,chihuahua,F,TRUE,Queens,,Summer,0.48,Toy Group,Senior (8+ Years)
7211,DOG,rottweiler,M,TRUE,Queens,11372,Summer,0.39,Working Group,Adult (3-7 Years)
7212,DOG,bull terrier,M,FALSE,Queens,,Summer,0.1,Terrier Group,Puppy/Young (0-2 Years)
7214,DOG,havanese,M,TRUE,Queens,11371,Summer,0.45,Toy Group,Adult (3-7 Years)
7215,DOG,bull terrier,M,FALSE,Queens,11419,Summer,0.21,Terrier Group,Adult (3-7 Years)
7216,DOG,bull terrier,M,FALSE,Queens,11413,Summer,0.14,Terrier Group,Puppy/Young (0-2 Years)
7217,DOG,bull terrier,U,FALSE,Queens,11691,Summer,0.0,Terrier Group,
7218,DOG,rottweiler,M,FALSE,Queens,,Summer,0.33,Working Group,
7222,DOG,chihuahua,U,TRUE,Queens,11415,Summer,0.49,Toy Group,
7225,DOG,boston terrier,F,TRUE,Queens,,Summer,0.71,Non-Sporting Group,Adult (3-7 Years)
